blub_idfs;id;year;date_from;date_to;championship;city;country;event_date;event_time_from;event_time_to;event_title
524;3133;2005;19.11.05;25.11.05;ISSF World Cup Final Dubai in shotgun;Dubai;UAE;21.11.05;;;Final Trap Women
524;3134;2005;19.11.05;25.11.05;ISSF World Cup Final Dubai in shotgun;Dubai;UAE;21.11.05;;;Final Skeet Women
524;3139;2005;19.11.05;25.11.05;ISSF World Cup Final Dubai in shotgun;Dubai;UAE;22.11.05;;;Final Trap Men
524;3140;2005;19.11.05;25.11.05;ISSF World Cup Final Dubai in shotgun;Dubai;UAE;22.11.05;;;Final Skeet Men
524;3145;2005;19.11.05;25.11.05;ISSF World Cup Final Dubai in shotgun;Dubai;UAE;24.11.05;;;Final Double Trap Men
526;3032;2005;24.05.05;31.05.05;ISSF World Championships Lonato in shotgun;Lonato;ITA;26.05.05;17:00:00;17:00:00;FinalDouble Trap Men 
526;3039;2005;24.05.05;31.05.05;ISSF World Championships Lonato in shotgun;Lonato;ITA;29.05.05;17:15:00;17:15:00;Final Trap Women
526;3052;2005;24.05.05;31.05.05;ISSF World Championships Lonato in shotgun;Lonato;ITA;29.05.05;16:30:00;16:30:00;Final Skeet Women
526;3053;2005;24.05.05;31.05.05;ISSF World Championships Lonato in shotgun;Lonato;ITA;30.05.05;17:30:00;17:30:00;Final Trap Men
526;3054;2005;24.05.05;31.05.05;ISSF World Championships Lonato in shotgun;Lonato;ITA;30.05.05;16:00:00;16:00:00;Final Skeet Men
